id,fac_name,un_name
1,"اللغــــات (عربي ، إنجليزي، فرنسي)",المعهد الاسلامى للترجمة
2,كلية الحاسوب وتقنية المعلومات – علوم الحاسوب,جامعة السودان المفتوحة
3,كلية الحاسوب وتقنية المعلومات – تقنية المعلومات,جامعة السودان المفتوحة
4,كليـة العلوم الإدارية,جامعة السودان المفتوحة
5,كليـة العلوم الإقتصادية والمالية,جامعة السودان المفتوحة
6,كليـة القانون,جامعة السودان المفتوحة
7,كلية اللغات ( لغة إنجليزية – لغة عربية),جامعة السودان المفتوحة
8,كليـة الإعلام,جامعة السودان المفتوحة
9,كليـة التربية,جامعة السودان المفتوحة
10,تعليم اللغة العربية للناطقين بغيرها,جامعة السودان المفتوحة
11,كليـة الطب,جامعة الرباط الوطنى
12,كليـة طب وتقانة الأسنان,جامعة الرباط الوطنى
13,كليـة الصيدلة,جامعة الرباط الوطنى
14,كليـة المختبرات الطبية,جامعة الرباط الوطنى
15,كليـة علوم التمريض,جامعة الرباط الوطنى
16,كليـة تقانة الأشعة والطب النووي,جامعة الرباط الوطنى
17,كليـة التقنية والعلوم الصحية - علم النفس الجنائى والسريرى,جامعة الرباط الوطنى
18,كليـة التقنية والعلوم الصحية-التخدير,جامعة الرباط الوطنى
19,كليـة التقنية والعلوم الصحية - العلاج الطبيعى,جامعة الرباط الوطنى
20,كليـة التقنية والعلوم الصحية – التغذية والتغذية العلاجية,جامعة الرباط الوطنى
21,كليـة العمارة,جامعة الرباط الوطنى
22,كلية دراسات الحاسوب – علوم الحاسوب,جامعة الرباط الوطنى
23,كليـة دراسات الحاسوب - تقنية المعلومات,جامعة الرباط الوطنى
24,كليـة اللغات والترجمـة,جامعة الرباط الوطنى
25,كليـة الدراسات الإسلامية – الدراسات الإسلامية,جامعة الرباط الوطنى
26,كلية العلوم الإقتصادية والإدارية والمالية – العلوم الإقتصادية,جامعة الرباط الوطنى
27,كلية العلوم الإقتصادية والإدارية والمالية – العلوم الإدارية,جامعة الرباط الوطنى
28,كليـة علوم البيئة وإدارة مخاطر الكوارث - إدارة المنظمات,جامعة الرباط الوطنى
29,كليـة علوم البيئة وإدارة مخاطر الكوارث - الحماية المدنية,جامعة الرباط الوطنى
30,كليـة علوم البيئة وإدارة مخاطر الكوارث - علوم الكوارث,جامعة الرباط الوطنى
31,كليـة الإعلام,جامعة الرباط الوطنى
32,كليـة القانون,جامعة الرباط الوطنى
33,كليـة الطب والجراحة,جامعة افريقيا العالمية
34,كليـة طب الأسنان,جامعة افريقيا العالمية
35,كليـة الصيدلـة,جامعة افريقيا العالمية
36,كليـة علوم المختبرات الطبية,جامعة افريقيا العالمية
37,كليـة علوم التمريض (طالبات),جامعة افريقيا العالمية
38,كليـة الهندسة -الميكانيكية - طلاب,جامعة افريقيا العالمية
39,كليـة الهندسة - الألكترونية والكهربائية,جامعة افريقيا العالمية
40,كليـة الهندسة – المعمار,جامعة افريقيا العالمية
41,كليـة الهندسة - المدنية,جامعة افريقيا العالمية
42,كليـة الحاسـوب وتقانة المعلومات – علوم الحاسوب,جامعة افريقيا العالمية
43,كليـة الحاسـوب وتقانة المعلومات – تقانة المعلومات,جامعة افريقيا العالمية
44,كليـة الحاسـوب وتقانة المعلومات – نظم المعلومات,جامعة افريقيا العالمية
45,كليـة العلوم البحتة والتطبيقية,جامعة افريقيا العالمية
46,كليـة المعادن والنفط* - طلاب فقط,جامعة افريقيا العالمية
47,كليـة الشريعة والقانون,جامعة افريقيا العالمية
48,كليـة الاعلام,جامعة افريقيا العالمية
49,كليـة الآداب,جامعة افريقيا العالمية
50,كليـة الدراسات الإسلامية,جامعة افريقيا العالمية
51,كليـة التربية علمي,جامعة افريقيا العالمية
52,كليـة التربية أدبي,جامعة افريقيا العالمية
53,كليـة تقانة الانتاج والتصنيع الزراعي,جامعة افريقيا العالمية
54,كليـة الإقتصاد والعلوم السياسية,جامعة افريقيا العالمية
55,كليـة العلوم الإدارية,جامعة افريقيا العالمية
56,كلية العلوم الاسرية وتنمية المجتمع – ( تنمية الأسرة - تنمية المجتمع* ) – (طالبات),جامعة افريقيا العالمية
57,كلية العلوم الاسرية وتنمية المجتمع – ( علوم التغذية - تكنولوجيا الأغذية )- (طالبات),جامعة افريقيا العالمية
58,كلية الألسن,جامعة افريقيا العالمية
59,كليـة القـرآن الكريـم وعلومه –           ( القراءات – التفسير وعلوم القرآن ),جامعة افريقيا العالمية
60,كلية الكوارث والأمن الإنسانى – الكوارث والبيئة,جامعة افريقيا العالمية
61,كلية الكوارث والأمن الإنسانى – (المنظمات والعمل الطوعى – النزاعات والأمن الإنسانى ),جامعة افريقيا العالمية
62,كلية اللغة العربية - اللغة العربية,جامعة افريقيا العالمية
63,كلية اللغة العربية - تعليم اللغة العربية للناطقين بغيرها,جامعة افريقيا العالمية
64,كليـة الطب,جامعة كررى
65,كليـة طب الفم والأسنان,جامعة كررى
66,كليـة الصيدلة,جامعة كررى
67,كليـة المختبرات الطبية,جامعة كررى
68,كليـة التمريض,جامعة كررى
69,كليـة الأشعة التشخيصية,جامعة كررى
70,كليـة الهندسة المدنية,جامعة كررى
71,كليـة الهندسة الميكانيكية - انتاج,جامعة كررى
72,كليـة الهندسة الميكانيكية – قدره,جامعة كررى
73,كليـة الهندسة الكهربائية – نظم التحكم,جامعة كررى
74,كليـة الهندسة الكهربائية – نظم القدره,جامعة كررى
75,كليـة الهندسة الكهربائية – النظم الإلكترونية,جامعة كررى
76,كليـة الهندسة الكهربائية – الإتصالات,جامعة كررى
77,كليـة الهندسة الكيميائية,جامعة كررى
78,كليـة هندسة الطيران – نظم الكترونيات الطائرات,جامعة كررى
79,كليـة هندسة الطيران – ميكانيكا الطائرات,جامعة كررى
80,كلية هندسة المساحة,جامعة كررى
81,كليـة الحاسـوب – علوم الحاسوب,جامعة كررى
82,كليـة الحاسـوب - تقنية المعلومات,جامعة كررى
83,كليـة الحاسـوب – شبكات الحاسوب,جامعة كررى
84,كليـة الحاسـوب – هندسة البرمجيات,جامعة كررى
85,كليـة الحاسـوب – نظم المعلومات,جامعة كررى
86,كليـة الحاسـوب – أمن المعلومات,جامعة كررى
87,كلية الاقتصاد والعلوم الإدارية,جامعة كررى
88,كلية الآداب – اللغة الصينية,جامعة كررى
89,كلية الآداب – لغة إنجليزية,جامعة كررى
90,مدرسة  الطـب,جامعة الاحفاد
91,مدرسة الصيدلة,جامعة الاحفاد
92,مدرسة العلـوم الصحية,جامعة الاحفاد
93,مدرسة العلوم الإدارية,جامعة الاحفاد
94,مدرسة التنميـة الريفيـة,جامعة الاحفاد
95,مدرسة علـم النفـس ورياض الأطفال,جامعة الاحفاد
96,كليـة الطب,جامعة السودان العالمية
97,كليـة طب الأسنان,جامعة السودان العالمية
98,كليـة الصيدلة,جامعة السودان العالمية
99,كليـة المختبرات الطبية,جامعة السودان العالمية
100,كليـة التمريض,جامعة السودان العالمية
101,كلية التصوير الطبي,جامعة السودان العالمية
102,كلية علوم البصريات,جامعة السودان العالمية
103,كلية العلاج الطبيعى,جامعة السودان العالمية
104,كليـة الهندسة - هندسة العماره,جامعة السودان العالمية
105,كلية الهندسة - المدنية,جامعة السودان العالمية
106,كلية الهندسة - الكهربائية (انظمة التحكم),جامعة السودان العالمية
107,كلية الهندسة - الكهربائية (انظمة القدرة),جامعة السودان العالمية
108,كليـة الهندسة – الإلكترونية,جامعة السودان العالمية
109,كليـة الهندسة - الشبكات والإتصالات,جامعة السودان العالمية
110,كليـة الهندسة -  الطبية,جامعة السودان العالمية
111,كليـة الهندسة - نظم الحاسوب,جامعة السودان العالمية
112,كليـة الهندسة - هندسة الميكاترونيكس,جامعة السودان العالمية
113,كليـة الهندسة - هندسة ميكانيكا – قوى,جامعة السودان العالمية
114,كليـة الهندسة - هندسة ميكانيكا - انتاج,جامعة السودان العالمية
115,الحوسبة ونظم المعلومات - إدارة الشبكات,جامعة السودان العالمية
116,الحوسبة ونظم المعلومات - تطوير أنظمة الأنترنت,جامعة السودان العالمية
117,الحوسبة ونظم المعلومات - حوسبة أعمال,جامعة السودان العالمية
118,الحوسبة ونظم المعلومات - إدارة وأمن المعلومات,جامعة السودان العالمية
119,كليـة العلوم الإدارية,جامعة السودان العالمية
120,الإقتصاد والدراسات المالية والمصرفية,جامعة السودان العالمية
121,كلية الطب,جامعة امدرمان الاهلية
122,كلية المختبرات الطبية,جامعة امدرمان الاهلية
123,كليـة الهندسة - هندسة العماره,جامعة امدرمان الاهلية
124,كليـةالهندسة - هندسة الكهرباء(قوى),جامعة امدرمان الاهلية
125,كليـة الهندسة - هندسة الاتصالات,جامعة امدرمان الاهلية
126,كليـة الهندسة - هندسة الحاسوب,جامعة امدرمان الاهلية
127,كلية العلوم التطبيقية والحاسوب - علوم الحاسوب,جامعة امدرمان الاهلية
128,كلية العلوم التطبيقية والحاسوب – تقانة المعلومات,جامعة امدرمان الاهلية
129,كلية العلوم التطبيقية والحاسوب - الرياضيات التطبيقية,جامعة امدرمان الاهلية
130,كلية العلوم التطبيقية والحاسوب - الفيزياء التطبيقية,جامعة امدرمان الاهلية
131,كلية العلوم التطبيقية والحاسوب - الفيزياء والرياضيات,جامعة امدرمان الاهلية
